department_id,product_id,most_reordered
4,24852,12461
4,13176,10053
4,21137,6506
4,21903,6120
4,47766,4705
4,47209,4536
4,47626,4473
4,16797,3635
4,27966,3261
4,26209,3255
16,27845,3154
4,39275,2533
4,45007,2489
4,22935,2343
4,24964,2296
4,30391,2261
4,4920,2151
4,40706,2138
7,44632,2027
4,45066,2005
4,4605,1940
4,5876,1881
4,46979,1880
4,42265,1878
4,8518,1847
4,28204,1840
4,31717,1754
4,43352,1737
4,19057,1735
4,5450,1688
20,30489,1676
16,49235,1640
4,37646,1588
4,21616,1574
4,28985,1484
16,27086,1458
4,27104,1391
4,26604,1385
7,19660,1375
4,12341,1366
4,24184,1338
3,5077,1319
4,49683,1301
4,8424,1292
4,41950,1286
4,39877,1285
4,48679,1284
16,35951,1270
4,43961,1269
4,17794,1247
4,44359,1245
16,24838,1222
4,8277,1207
16,22035,1204
4,10749,1194
4,34126,1163
7,35221,1146
4,21938,1130
16,11520,1126
4,34969,1120
1,9076,1051
16,18465,1043
4,29487,1017
7,33198,1016
4,37067,1006
4,22825,1001
4,39928,1000
4,27521,1000
4,8174,999
16,5785,971
16,23909,954
4,46667,937
4,20114,926
7,196,921
20,27344,915
4,15290,912
4,34358,904
4,28842,894
4,9839,883
16,47144,844
7,21709,833
16,33731,822
16,4210,821
16,38689,818
4,46906,797
16,33000,794
4,16759,785
13,31506,780
7,3957,777
4,11777,773
4,6184,756
15,27156,752
16,19348,747
16,432,739
4,9387,739
16,7781,732
4,38739,729
4,28199,713
7,14947,712
7,5479,711
4,44142,707
1,20995,698
16,30233,690
4,37687,672
16,4799,660
16,40604,652
16,42736,646
16,43295,646
20,42585,645
4,34243,636
1,24489,622
4,26369,620
16,42828,615
16,16185,607
16,32655,605
15,28849,598
4,5025,596
4,41787,590
4,8193,588
4,41220,582
4,260,581
16,20842,572
16,33754,560
17,8021,560
4,11182,558
4,43772,551
20,22963,551
16,1940,548
4,19678,548
7,8859,544
1,17948,544
14,41844,541
4,21288,539
4,14992,531
15,42768,526
16,1463,521
4,21405,521
3,18362,520
16,39475,516
16,46676,516
16,36011,515
4,2295,512
4,43122,503
12,38293,501
7,26165,496
4,44683,494
4,31553,494
7,25146,492
19,13870,490
4,24830,489
12,6046,489
7,26620,485
1,46802,483
7,30776,482
16,31343,477
4,5212,476
16,33120,475
16,42701,466
4,36695,465
16,23734,461
16,18523,459
4,32689,453
4,39408,451
16,32478,446
16,46654,440
20,40310,436
16,35921,431
4,32864,430
7,23288,428
16,25659,423
7,43154,419
4,28289,416
7,41290,415
4,38383,410
13,16953,410
4,48205,409
4,43768,409
20,42342,409
16,17600,408
4,35939,407
4,10246,405
16,18531,403
16,29987,400
4,5818,400
7,31683,400
16,28465,400
16,24799,399
3,21267,399
4,13629,396
4,3952,392
7,20119,391
4,25931,391
4,8571,390
16,40174,386
7,49520,385
1,42450,385
4,48364,385
9,23375,385
4,30827,385
16,35108,384
16,33787,382
7,5258,382
12,47672,382
17,2086,381
4,44910,381
16,29447,380
16,10132,379
16,40571,379
16,2078,378
4,46969,377
7,25466,375
16,16083,374
16,4957,373
4,38456,372
13,30450,369
7,47977,369
7,45603,367
4,17122,364
7,10957,363
7,2966,361
4,40723,359
19,34448,355
12,17461,353
20,13646,353
15,890,352
7,34050,352
16,40332,351
1,28934,350
16,14084,347
4,8048,346
3,18027,344
7,14233,343
19,21376,343
16,20082,342
16,1511,342
4,39993,341
1,14678,341
